adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/m3WlBJJRbFPaut1QS0PbOG8Wezy.jpg,"[10749, 18]",1327862,en,Regretting You,年輕母親摩根（愛莉森威廉絲 飾演）為了扶養16歲女兒克拉拉（麥肯娜葛瑞絲 飾演）暫時放下自身夢想，沒想到卻遭遇丈夫車禍身亡，讓本來就複雜的母女關係雪上加霜，兩人必須學習如何一同面對人生的難關。,19.3109,/aaaHzAKC3IPd4M21dGvxrqoR7rO.jpg,2025-10-22,只為你遺憾,False,6.968,362
False,/bGGjyPqtNc8hhGkPo8W8D8t90bW.jpg,"[28, 12, 53]",539972,en,Kraven the Hunter,獵人克萊文，本名叫做謝爾蓋克拉維諾夫，繼承於俄羅斯貴族後裔，迅速成為令人聞風喪膽的可怕殺手，並且創立「邪惡六人組」的團隊，一生致力於擊敗蜘蛛人。羅素克洛飾演的權威父親深深影響年輕時的克萊文，成長在這個畸形的家庭讓他無法找到自己的定位，但在一次打獵中被獅子攻擊後，獅子的血液意外地與克萊文的血液結合，讓他獲得超人的力量和敏捷的追蹤技巧，精通各種殺人兵器的他決定展開他的復仇計畫……,18.6594,/64jZ7PCr9l4pGnBEyGy3pTLqy4i.jpg,2024-12-11,獵人克萊文,False,6.432,2287
False,/m5dA4JZsj78EBTa2D6imWOAebwB.jpg,[35],4247,en,Scary Movie,從《驚聲尖叫》笑到《鐵達尼號》，再對《駭客任務》捧腹，一部不再是恐怖的恐怖電影，顛覆你的電影想像空間，試試你的電影觀念急轉彎。,16.6735,/zTPKzffEc0xivjetoSLu33VW5Vp.jpg,2000-07-07,驚聲尖笑,False,6.4,7678
False,/Ary1sG0AHn4V1DFrwV7g72Fomq0.jpg,"[10402, 18, 35]",1620551,it,Non abbiam bisogno di parole,身為聾人家庭唯一能聽見聲音的成員，含羞的少女發現自己擁有唱歌天賦，她必須在履行責任和尋找自己的道路之間做出抉擇。,14.3274,/orKCPlIHG1PulYZfG79aEKMKK29.jpg,2026-04-03,心之高歌,False,6.5,82
False,/z3br1ub7spqGMkxgjgJSdM4DC21.jpg,"[18, 9648, 878]",1124,en,The Prestige,兩個敵對魔術師的精采生平，兩人因極度對立而展開長達一生的對決，狂熱、欺騙與忌妒讓雙方企圖凌駕另一方，彼此皆不惜身陷危險與致命的後果。從他們當年還是魔術師新秀時首度相遇，勞勃安吉爾與艾佛瑞波登就成為勁敵，他們的友情競爭逐步轉變成敵意對立，不僅彼此成為生活中的凶狠敵手，更讓他們週遭親友也陷入致命危機..,16.6089,/aw5qvRlY31AixBLr5op0CIqCMdS.jpg,2006-10-17,頂尖對決,False,8.2,17446
False,/21YKck5bSRcvRIXlVg6ZaV0k0sj.jpg,"[18, 10749]",1631917,tl,18th Rose,活力少女夢想著一場完美的成年禮，於是與孤獨的新來者達成協議，但意外的心動和真相也許會讓計劃徹底泡湯。,18.6696,/fskLy2DViBXtHvZm38MsnetnEla.jpg,2026-04-09,第18朵玫瑰,False,6.0,10
False,/lUbc4XVpCe1q4aqZyQqFCIubaDN.jpg,[18],10867,it,Malèna,影片背景是1940年的西西里島的寧靜小鎮，當時義大利剛剛宣布參戰。女主角瑪蓮娜的丈夫Nino Scordia參軍未歸，被認定為死亡。瑪蓮娜離開家鄉，來到了這個海邊小鎮，在這裡，她吸引了所有男人的目光，包括12歲的雷納托。儘管八卦不斷，瑪蓮娜一直忠於自己的丈夫。而雷納托悄悄地迷戀上這個女人，跟蹤、窺視她的生活，陷入了情慾幻想。,21.2228,/dzDomGKtXBSpsXbwfI5Ujn2rQvm.jpg,2000-10-27,真愛伴我行,False,7.428,2473
False,/rNu7OkOeZyylZcUqIA7DpclTjur.jpg,[18],1480382,ar,صوت هند رجب,"榮獲2025年威尼斯影展評審團大獎。 2024年1月29日，巴勒斯坦紅新月會志願者接到一通緊急電話，加沙地區一名6歲困於一輛熊熊燃燒的汽車中，亟待救援。志願者團隊一邊與她保持通話，一邊竭力派出救護車前往救援。這位女孩名叫欣德·拉賈布。",17.8577,/n9RKdnuVBBU5qb6fgIeQVXdh7Go.jpg,2025-09-10,欣德之聲,False,8.042,262
False,/8FWC4tDWB1p006vwiubhai4a8iS.jpg,"[10751, 12, 14]",1020969,no,Teddybjørnens Jul,,15.9196,/uqV9OKGUjn7ifZlegAfjzNjGLr4.jpg,2022-11-05,Teddybjørnens Jul,False,6.969,50
False,/uKPbFF08QkRMvIAsgCh1soeyPhZ.jpg,"[18, 878, 9648]",329865,en,Arrival,神秘的太空船在全球降落現身，優秀的語言學家露易絲班克思(艾美亞當斯 飾) 帶領一支菁英團隊聯手展開調查研究。就在人類徘徊在世界大戰邊緣之際，班克思帶領著團隊與時間賽跑，試圖尋求解答，此舉卻有可能讓自己的生命遭受威脅，乃至人性也可能被泯滅殆盡...。,22.6546,/wLTrOjouU56VdwlLiCgaIdwyff2.jpg,2016-11-10,異星入境,False,7.625,19195
